#
# Citizen of eChile
#
# Published by iVicentico
# 

# date, citizen
#----------------
2009-10-03,1198
2009-10-04,1159
2009-10-05,1172
2009-10-06,1171
2009-10-08,1191
2009-10-09,1204
2009-10-10,1331
2009-10-11,1438
2009-10-12,1558
2009-10-13,1636
2009-10-14,1672
2009-10-15,1665
2009-10-16,1663
2009-10-17,1742
2009-10-18,1888
2009-10-19,1992
2009-10-20,2062
2009-10-21,2134
2009-10-22,2211
2009-10-23,2278
2009-10-24,2351
2009-10-25,2469
2009-10-26,2547
2009-10-27,2640
2009-10-28,2706
2009-10-29,2787
2009-10-30,2860
2009-10-31,2940
2009-11-01,2959
2009-11-02,2944
2009-11-03,2942
2009-11-04,2954
2009-11-05,2952
2009-11-06,2941
2009-11-07,2945
2009-11-08,2936
2009-11-09,2898
2009-11-10,2842
2009-11-11,2802
2009-11-12,2743
2009-11-13,2710
2009-11-14,2695
2009-11-15,2683
2009-11-16,2657
2009-11-17,2582
2009-11-18,2519
2009-11-20,2418
2009-11-21,2456
2009-11-22,2400
2009-11-23,2327
2009-11-24,2288
2009-11-25,2242
2009-11-26,2151
2009-11-27,2094
2009-11-28,2022
2009-11-29,1954
2009-11-30,1882
2009-12-01,1848
2009-12-02,1870
2009-12-03,1705
2009-12-04,1696
2009-12-05,1704
2009-12-06,1707
2009-12-07,1696
2009-12-08,1683
2009-12-09,1669
2009-12-10,1649
2009-12-11,1648
2009-12-12,1645
2009-12-13,1634
2009-12-14,1609
2009-12-15,1590
2009-12-16,1553
2009-12-17,1531
2009-12-18,1527
2009-12-19,1524
2009-12-20,1517
2009-12-21,1481
2009-12-22,1479
2009-12-23,1448
2009-12-24,1475
2009-12-25,1466
2009-12-26,1447
2009-12-27,1432
2009-12-29,1424
2009-12-30,1429
2009-12-31,1431
2010-01-01,1409
2010-01-02,1360
2010-01-03,1374
2010-01-04,1382
2010-01-05,1383
2010-01-06,1385
2010-01-07,1386
2010-01-08,1386
2010-01-09,1410
2010-01-10,1413
2010-01-11,1447
2010-01-12,1447
2010-01-13,1489
2010-01-14,1506
2010-01-15,1513
2010-01-16,1521
2010-01-17,1514
2010-01-25,1604
2010-01-26,1608
2010-01-27,1597
2010-01-28,1605
2010-01-29,1603
2010-01-30,1563
2010-01-31,1564
2010-02-01,1561
2010-02-02,1570
2010-02-03,1573
2010-02-04,1570
2010-02-05,1546
2010-02-06,1557
2010-02-07,1571
2010-02-08,1589
2010-02-09,1614
2010-02-10,1604
2010-02-11,1594
2010-02-12,1629
2010-02-13,1599
2010-02-14,1593
2010-02-15,1592
2010-02-16,1585
2010-02-17,1660
2010-02-18,1754
2010-02-19,1770
2010-02-20,1856
2010-02-21,1891
2010-02-22,1933
2010-02-23,1810
2010-02-24,1795
2010-02-25,1777
2010-02-26,1769
2010-02-28,1754
2010-03-01,1741
2010-03-02,1743
2010-03-03,1759
2010-03-04,1775
2010-03-05,1773
2010-03-06,1779
2010-03-07,1775
2010-03-08,1768
2010-03-09,1764
2010-03-10,1768
2010-03-11,1774
2010-03-12,1760
2010-03-13,1766
2010-03-14,1775
2010-03-15,1763
2010-03-16,1759
2010-03-17,1749
2010-03-18,1757
2010-03-19,1732
2010-03-20,1686
2010-03-21,1668
2010-03-22,1667
2010-03-23,1647
2010-03-24,1635
2010-03-25,1632
2010-03-26,1621
2010-03-27,1600
2010-03-28,1591
2010-03-29,1584
2010-03-30,1577
2010-03-31,1559
2010-04-01,1554
2010-04-02,1535
2010-04-03,1549
2010-04-04,1532
2010-04-05,1523
2010-04-06,1548
2010-04-07,1540
2010-04-08,1553
2010-04-09,1553
2010-04-10,1570
2010-04-11,1577
2010-04-12,1571
2010-04-13,1573
2010-04-14,1591
2010-04-15,1615
2010-04-16,1630
2010-04-17,1612
2010-04-18,1630
2010-04-19,1641
2010-04-20,1631
2010-04-21,1625
2010-04-22,1616
2010-04-23,1609
2010-04-24,1614
2010-04-25,1623
2010-04-26,1621
2010-04-27,1632
2010-04-28,1656
2010-04-29,1663
2010-04-30,1677
2010-05-01,1685
2010-05-02,1668
2010-05-03,1660
2010-05-04,1651
2010-05-05,1639
2010-05-06,1611
2010-05-07,1595
2010-05-08,1582
2010-05-09,1577
2010-05-10,1567
2010-05-11,1567
2010-05-12,1571
