#
# Moneraty Data of eChile
#
# Published by iVicentico
# 
# date. CLP. Gold
#----------------
2010-03-13|0.024|43.949
2010-03-14|0.023|46.749
2010-03-15|0.022|45.988
2010-03-16|0.022|47.5
2010-03-17|0.021|48.795
2010-03-18|0.022|48.745
2010-03-19|0.022|48.91
2010-03-20|0.021|50.25
2010-03-21|0.02|50
2010-03-22|0.024|52
2010-03-23|0.021|49
2010-03-24|0.021|48.5
2010-03-25|0.023|49.469
2010-03-26|0.022|49.46
2010-03-27|0.022|48.897
2010-03-28|0.022|48.1
2010-03-29|0.022|48.046
2010-03-30|0.029|47.85
2010-04-01|0.024|45.64
2010-04-02|0.026|39.998
2010-04-03|0.025|41.984
2010-04-04|0.025|41.828
2010-04-05|0.026|41.775
2010-04-06|0.026|39.999
2010-04-07|0.025|40.66
2010-04-08|0.025|40.654
2010-04-09|0.025|42.99
2010-04-10|0.025|42.666
2010-04-11|0.025|42
2010-04-12|0.026|41.247
2010-04-13|0.028|40.25
2010-04-14|0.026|40.1
2010-04-15|0.026|39.997
2010-04-16|0.027|39.973
2010-04-17|0.026|39.994
2010-04-18|0.026|39.999
2010-04-19|0.026|41.999
2010-04-20|0.027|38.697
2010-04-21|0.027|38.667
2010-04-22|0.024|43.697
2010-04-23|0.025|41.9
2010-04-24|0.024|43.361
2010-04-25|0.024|42.968
2010-04-26|0.025|41.98
2010-04-27|0.025|41.7
2010-04-28|0.025|40.5
2010-04-29|0.026|40.2
2010-04-30|0.027|39.945
2010-05-01|0.026|39.5
2010-05-02|0.027|38.699
2010-05-03|0.026|43
2010-05-04|0.026|39.986
2010-05-05|0.026|39.947
2010-05-06|0.027|38.845
2010-05-07|0.026|39.5
2010-05-08|0.027|39.377
2010-05-09|0.026|39.31
2010-05-10|0.026|39.365
2010-05-11|0.026|39.649
2010-05-12|0.026|40.1
2010-05-13|0.026|40.066
